ACCIDENT_YEAR	ACCIDENT_MONTH	LOCATION_NAME	REGION	CITY	ROLE	FATAL_VICTIM_COUNT
2019	June	122 AVE & 122A AVE & HARRIS RD	Lower Mainland	PITT MEADOWS	Pedestrian	1
2019	July	ST JOHNS ST # 002400 TO 002499	Lower Mainland	PORT MOODY	Driver	1
2020	March		Lower Mainland	VANCOUVER	Pedestrian	1
2021	May	CLARK DR & WILLIAM ST	Lower Mainland	VANCOUVER	Pedestrian	1
2021	September	GREAT NORTHERN AVE & MT LEHMAN RD	Lower Mainland	ABBOTSFORD	Passenger	1
2017	October	TRANS-CANADA HWY # 024800 TO 025076	Lower Mainland	LANGLEY	Driver	1
2019	April	E 49TH AVE & FREDERICK ST	Lower Mainland	VANCOUVER	Pedestrian	1
2019	February	KEITH WILSON RD # 041800 TO 041999	Lower Mainland	CHILLIWACK	Driver	1
2018	December	GLOVER RD & LANGLEY BYPASS & TURNING LANE	Lower Mainland	LANGLEY	Driver	1
2021	October	LADNER TRUNK RD # 008000 TO 008799	Lower Mainland	DELTA	Driver	1
2018	September	122A ST & 75 AVE	Lower Mainland	SURREY	Pedestrian	1
2018	August	ARBUTUS ST # 004900 TO 004941	Lower Mainland	VANCOUVER	Driver	1
2017	January	HILL-TOUT ST & PEARDONVILLE RD & SOUTH FRASER WAY	Lower Mainland	ABBOTSFORD	Pedestrian	1
2021	July	BARKER AVE & GRANGE ST	Lower Mainland	BURNABY	Pedestrian	1
2017	December	NO 8 RD & RIVER RD	Lower Mainland	RICHMOND	Passenger	1
2018	January	CARIBOO RD # 007200 TO 007449	Lower Mainland	BURNABY	Pedestrian	1
2018	November	GREENALL AVE & MARINE DR	Lower Mainland	BURNABY	Pedestrian	1
2018	July	HWY 1 & GIBSON RD	Lower Mainland	CHILLIWACK	Driver	1
2020	June	121 ST & 72 AVE	Lower Mainland	SURREY	Driver	1
2018	January	QUARRY RD & YALE RD	Lower Mainland	CHILLIWACK	Driver	1
2019	June	159 ST & 84 AVE	Lower Mainland	SURREY	Pedestrian	1
2018	November	134A ST & 88 AVE	Lower Mainland	SURREY	Driver	1
2017	August	FRASER HWY # 028800 TO 029393	Lower Mainland	ABBOTSFORD	Driver	1
2018	December	LKI HWY 0099 SEG# 2944 OFFSET 131.14 KM	Lower Mainland	SQUAMISH	Driver	1
2017	January	AUSTIN AVE # 000800 TO 000899	Lower Mainland	COQUITLAM	Pedestrian	1
2018	July	SYLVESTER RD # 009119 TO 009288	Lower Mainland	HATZIC	Driver	1
2020	April	MARY HILL BYPASS & PITT RIVER RD & TURNING LANE	Lower Mainland	PORT COQUITLAM	Passenger	1
2018	January	NO 1 RD & TUCKER AVE	Lower Mainland	RICHMOND	Pedestrian	1
2020	May	LKI HWY 0001 SEG# 0540 OFFSET 33.36 KM	Lower Mainland	HOPE	Cyclist	1
2021	January	AIRPORT CONNECTOR BRIDGE & AIRPORT STATION & ARTHUR LAING BRIDGE & BRIDGEPORT RD & CESSNA DR & CESSNA DR OFRP & GRANT MCCONACHIE WAY & GRANT MCCONACHIE WAY OFRP & GRANT MCCONACHIE WAY ONRP & MILLER RD & RUSS BAKER WAY & RUSS BAKER WAY OFRP & RUSS BAKER W	Lower Mainland	RICHMOND	Driver	1
2018	December	GLOVER RD & LANGLEY BYPASS & TURNING LANE	Lower Mainland	LANGLEY	Passenger	1
2021	September	ASHWELL RD # 008940 TO 009058	Lower Mainland	CHILLIWACK	Pedestrian	1
2021	April	E CORDOVA ST & PRINCESS AVE	Lower Mainland	VANCOUVER	Pedestrian	1
2021	August	LKI HWY 0099 SEG# 0001 OFFSET 34.70 KM	Lower Mainland	SQUAMISH	Driver	1
2017	January	CAMPBELL RD & MARION RD	Lower Mainland	ABBOTSFORD	Driver	1
2017	July	E KEITH RD & SHAVINGTON ST	Lower Mainland	NORTH VANCOUVER	Cyclist	1
2020	February	BROADWAY ST & COAST MERIDIAN OVERPASS & KINGSWAY AVE & TURNING LANE	Lower Mainland	PORT COQUITLAM	Cyclist	1
2017	April	BROADMOOR BLVD & NO 3 RD	Lower Mainland	RICHMOND	Pedestrian	1
2018	July	200 ST & 200 ST OFFRAMP & 88 AVE & 88 AVE ONRAMP & HWY 1 ONRAMP & TRANS-CANADA HWY & TURNING LANE	Lower Mainland	LANGLEY	Driver	1
2019	September	CHILLIWACK RIVER RD	Lower Mainland	CHILLIWACK	Driver	1
2018	December	KINGSWAY # 001100 TO 001199	Lower Mainland	VANCOUVER	Pedestrian	1
2018	May	KINGSWAY & VICTORIA DR	Lower Mainland	VANCOUVER	Pedestrian	1
2020	December	XITOLACW RD # 010135 TO 010145	Lower Mainland	MOUNT CURRIE	Passenger	1
2021	December	168 ST # 003348 TO 003799	Lower Mainland	SURREY	Driver	1
2021	October	112 AVE OFFRAMP & 120 ST & KING GEORGE BLVD & SCOTT RD & SCOTT RD OFFRAMP & SCOTT RD ONRAMP & TURNING LANE	Lower Mainland	SURREY	Pedestrian	1
2018	November	10TH AVE & CEDAR ST	Lower Mainland	MISSION	Pedestrian	1
2018	September	GIESBRECHT RD & VEDDER MOUNTAIN RD	Lower Mainland	CHILLIWACK	Driver	1
2017	September	COMMERCIAL DR & E 12TH AVE	Lower Mainland	VANCOUVER	Pedestrian	1
2019	December	MOUNTAIN HWY # 001800 TO 001999	Lower Mainland	NORTH VANCOUVER	Pedestrian	1
2017	October	HWY 91 & NORDEL WAY & NORDEL WAY OFFRAMP & NORDEL WAY ONRAMP & SCALE ACCESS	Lower Mainland	DELTA	Driver	1
2021	November	HWY 1 & MARION RD	Lower Mainland	ABBOTSFORD	Pedestrian	1
2017	February	LOUGHEED HWY # 008182 TO 008434	Lower Mainland	BURNABY	Driver	1
2021	December	LOUGHEED HWY # 034100 TO 034293	Lower Mainland	MISSION	Pedestrian	1
2021	September	CYPRESS BOWL RD # 003757 TO 003850	Lower Mainland	WEST VANCOUVER	Passenger	2
2019	September	152 ST & 56 AVE	Lower Mainland	SURREY	Pedestrian	1
2021	November	ALDERBRIDGE WAY & NO 3 RD	Lower Mainland	RICHMOND	Driver	1
2017	February	MARSHALL RD # 033300 TO 033368	Lower Mainland	ABBOTSFORD	Pedestrian	1
2020	October	BALLAM RD # 046488 TO 047099	Lower Mainland	CHILLIWACK	Passenger	2
2019	July	160 ST & 40 AVE	Lower Mainland	SURREY	Driver	1
2021	January	COUNTESS ST & SOUTH FRASER WAY	Lower Mainland	ABBOTSFORD	Pedestrian	1
2018	October	9000 120 ST	Lower Mainland	DELTA	Pedestrian	1
2017	November	BRIDGEPORT RD	Lower Mainland	RICHMOND	Pedestrian	1
2020	July	HWY 99 - MT CURRIE - LILLOOET - OFFSET 031.86 KM; 1) SIGN: END AVALANCHE AREA	Lower Mainland	DEVINE	Driver	1
2017	October	120 ST # 007650 TO 007998	Lower Mainland	SURREY	Pedestrian	1
2018	November	E 27TH ST # 001110 TO 001199	Lower Mainland	NORTH VANCOUVER	Driver	1
2019	May	272 ST & LOUGHEED HWY	Lower Mainland	MAPLE RIDGE	Driver	1
2020	October	HWY 99	Lower Mainland	SQUAMISH	Passenger	1
2019	May	OLD HOPE PRINCETON WAY & TRANS-CANADA HWY & WATER AVE & WATER AVE ONRAMP & TURNING LANE	Lower Mainland	HOPE	Driver	1
2020	December	190 ST & 28 AVE	Lower Mainland	SURREY	Driver	1
2020	December	W BROADWAY & YUKON ST	Lower Mainland	VANCOUVER	Pedestrian	1
2020	August	NEAVES RD # 013398 TO 013519	Lower Mainland	MAPLE RIDGE	Cyclist	1
2017	September	AUSTIN AVE & WESTVIEW ST & WHITING WAY	Lower Mainland	COQUITLAM	Pedestrian	1
2021	October	LONZO RD & SUMAS WAY & SUMAS WAY OFFRAMP & SUMAS WAY ONRAMP & TRANS-CANADA HWY & TURNING LANE	Lower Mainland	ABBOTSFORD	Pedestrian	1
2018	January	130 ST & 72 AVE	Lower Mainland	SURREY	Pedestrian	1
2021	September	300 W CORDOVA ST	Lower Mainland	VANCOUVER	Pedestrian	1
2018	May	GIBSONS WAY & SEAMOUNT WAY	Lower Mainland	GIBSONS	Driver	1
2020	August	224 ST # 004000 TO 004370	Lower Mainland	LANGLEY	Driver	1
2017	September	WHATCOM RD	Lower Mainland	ABBOTSFORD	Driver	1
2021	July	DUTHIE AVE & MONTECITO DR	Lower Mainland	BURNABY	Driver	1
2018	June	TIMBERLINE PL # 004500 TO 004599	Lower Mainland	NORTH VANCOUVER	Pedestrian	1
2020	September	130 ST & BRIDGEVIEW DR & BRIDGEVIEW DR OFFRAMP & BRIDGEVIEW DR ONRAMP & HWY 17	Lower Mainland	SURREY	Pedestrian	1
2020	February	56 AVE # 018200 TO 018398	Lower Mainland	SURREY	Pedestrian	1
2018	April	ARGUE ST & MARY HILL BYPASS & SHAUGHNESSY ST & TURNING LANE	Lower Mainland	PORT COQUITLAM	Driver	1
2017	May	LOUGHEED HWY # 024000 TO 024178	Lower Mainland	MAPLE RIDGE	Driver	1
2019	November	HWY 5 & OTHELLO RD & OTHELLO RD OFFRAMP & OTHELLO RD ONRAMP	Lower Mainland	HOPE	Passenger	1
2021	December	144A ST & KING GEORGE BLVD	Lower Mainland	SURREY	Driver	1
2017	May	144 ST & 176 ST & 176 ST OFFRAMP & 64 AVE	Lower Mainland	SURREY	Driver	1
2021	November	LOBB AVE & SHAUGHNESSY ST	Lower Mainland	PORT COQUITLAM	Pedestrian	1
2017	August	TRANS-CANADA HWY & VEDDER RD & VEDDER RD OFFRAMP & VEDDER RD ONRAMP	Lower Mainland	CHILLIWACK	Passenger	1
2018	January	LKI HWY 0099 SEG# 2944 OFFSET 10.38 KM	Lower Mainland	SQUAMISH	Driver	1
2017	June	140A ST & 88 AVE	Lower Mainland	SURREY	Driver	1
2021	November	KINGSWAY # 000800 TO 000899	Lower Mainland	VANCOUVER	Pedestrian	1
2018	May	CAMBIE ST # 003500 TO 003599	Lower Mainland	VANCOUVER	Pedestrian	1
2020	December	KING GEORGE BLVD & 66 AVE	Lower Mainland	SURREY	Pedestrian	1
2019	January	HWY 99 - BLAINE - VANCOUVER - OFFSET 033.25 KM; 1) SIGN: WESTMINSTER HWY 2.0 KM / HWY 91 2.2 KM	Lower Mainland	RICHMOND	Driver	1
2020	May	264 ST & 264 ST ONRAMP & 56 AVE & 56 AVE OFFRAMP & 56 AVE ONRAMP & TRANS-CANADA HWY & TURNING LANE	Lower Mainland	LANGLEY	Passenger	1
2017	July	132 ST & 72 AVE	Lower Mainland	SURREY	Passenger	1
2019	March	HICKEY DR & MARINER WAY & RIVERVIEW CRES & TURNING LANE	Lower Mainland	COQUITLAM	Pedestrian	1
2020	August	COLUMBIA ST & W KING EDWARD AVE	Lower Mainland	VANCOUVER	Driver	1
2018	July	AUTOMALL DR & CARDINAL AVE & MT LEHMAN RD & TURNING LANE	Lower Mainland	ABBOTSFORD	Passenger	1
2019	March	GILKER HILL RD & KANAKA WAY	Lower Mainland	MAPLE RIDGE	Driver	1
2020	May	115 AVE & 132 ST	Lower Mainland	SURREY	Pedestrian	1
2020	September	21ST ST & 21ST ST ONRAMP & SKILIFT RD & SKILIFT RD OFFRAMP & TRANS-CANADA HWY & WESTHILL DR	Lower Mainland	WEST VANCOUVER	Driver	1
2019	December	10TH AVE & 2ND ST & SECOND ST & TENTH AVE	Lower Mainland	BURNABY	Driver	1
2018	October	RIVER RD # 006800 TO 007199	Lower Mainland	DELTA	Pedestrian	1
2020	July	ELDRIDGE RD # 003050 TO 003105	Lower Mainland	ABBOTSFORD	Driver	1
2021	October	NAUTILUS CLOSE # 004200 TO 004299	Lower Mainland	VANCOUVER	Driver	1
2019	April	HAWKINS PICKLE RD & LOUGHEED HWY	Lower Mainland	DEWDNEY	Driver	1
2019	August	LKI HWY 0099 SEG# 2933 OFFSET 13.55 KM	Lower Mainland	DEVINE	Driver	1
2018	June	181A ST & 61B AVE	Lower Mainland	SURREY	Driver	1
2017	March	4TH AVE & STEVESTON HWY	Lower Mainland	RICHMOND	Pedestrian	1
2017	June	168 ST & 60 AVE	Lower Mainland	SURREY	Pedestrian	1
2020	October	LOUGHEED HWY	Lower Mainland	AGASSIZ	Driver	1
2020	March	16 AVE & 56 ST	Lower Mainland	DELTA	Driver	1
2018	February	LKI HWY 0099 SEG# 2944 OFFSET 21.34 KM	Lower Mainland	SQUAMISH	Passenger	1
2018	October	MARSHALL RD & SUMAS WAY & TURNING LANE	Lower Mainland	ABBOTSFORD	Driver	1
2020	December	ANDREWS RD & NO 2 RD	Lower Mainland	RICHMOND	Pedestrian	1
2019	April	236 ST & DEWDNEY TRUNK RD	Lower Mainland	MAPLE RIDGE	Pedestrian	1
2018	July	GLADYS AVE # 033890 TO 034209	Lower Mainland	ABBOTSFORD	Pedestrian	1
2018	January	HWY 7 - MISSION - RTE 9 (HOT SPRINGS RD) - OFFSET 003.06 KM; 1) FARM ACCESS	Lower Mainland	MISSION	Driver	1
2017	December	DEMPSEY RD # 001050 TO 001299	Lower Mainland	NORTH VANCOUVER	Driver	1
2017	December	213 ST & 96 AVE	Lower Mainland	LANGLEY	Passenger	1
2021	November	HWY 99 - TUNNEL POINT REST AREA - SQUAMISH - OFFSET 006.69 KM; 1) BERTRAM CREEK / CULVERT	Lower Mainland	FURRY CREEK	Driver	1
2018	September	100 AVE # 014400 TO 014799	Lower Mainland	SURREY	Driver	1
2017	May	HARRIS RD & OLUND RD	Lower Mainland	ABBOTSFORD	Driver	1
2021	April	CAMP RIVER RD # 050261 TO 050349	Lower Mainland	CHILLIWACK	Passenger	1
2021	February	MARLIN QUAY	Lower Mainland	VANCOUVER	Pedestrian	1
2019	April	179 ST	Lower Mainland	SURREY	Passenger	1
2018	September	HWY 7 - MISSION - RTE 9 (HOT SPRINGS RD) - OFFSET 011.78 KM; 1) WARING RD	Lower Mainland	DEWDNEY	Driver	1
2017	January	176 ST & 176 ST OFFRAMP & 176 ST ONRAMP & TRANS-CANADA HWY	Lower Mainland	SURREY	Driver	1
2019	October	CLEARBROOK RD & OLD YALE RD	Lower Mainland	ABBOTSFORD	Driver	1
2021	May	HAMPTON PL & W 16TH AVE	Lower Mainland	UBC	Driver	1
2019	July	88 AVE & ARMSTRONG RD	Lower Mainland	LANGLEY	Driver	1
2018	October	CANADA WAY & ULSTER ST	Lower Mainland	BURNABY	Pedestrian	1
2021	December	HWY 11 & TOWNSHIPLINE RD	Lower Mainland	ABBOTSFORD	Driver	1
2017	October	LEEK RD & SUNSHINE COAST HWY	Lower Mainland	ROBERTS CREEK	Driver	1
2017	November	COLUMBIA ST & E PENDER ST	Lower Mainland	VANCOUVER	Pedestrian	1
2019	January	BLUNDELL RD & NO 6 RD	Lower Mainland	RICHMOND	Driver	1
2017	December	FRASER HWY # 026000 TO 026199	Lower Mainland	LANGLEY	Driver	1
2021	May	UNION ST # 000200 TO 000223	Lower Mainland	VANCOUVER	Pedestrian	1
2019	May	LUCILLE STARR DR & SCHOOLHOUSE ST	Lower Mainland	COQUITLAM	Driver	1
2019	August	GOLDEN EARS WAY & LOUGHEED HWY & LOUGHEED HWY OFFRAMP & LOUGHEED HWY ONRAMP & MEADOWTOWN CENTER WAY & TURNING LANE	Lower Mainland	PITT MEADOWS	Driver	1
2017	July	223 ST & 52 AVE	Lower Mainland	LANGLEY	Driver	1
2018	June	TEREDO ST & WHARF AVE	Lower Mainland	SECHELT	Cyclist	1
2018	May	64 AVE & KING GEORGE BLVD & TURNING LANE	Lower Mainland	SURREY	Pedestrian	1
2018	August	56 AVE # 016000 TO 016354	Lower Mainland	SURREY	Driver	1
2018	July	184 ST & 40 AVE	Lower Mainland	SURREY	Driver	1
2018	December	16TH AVE & 6TH ST	Lower Mainland	BURNABY	Pedestrian	1
2018	August	CLAYBURN RD & HWY 11 & TURNING LANE	Lower Mainland	ABBOTSFORD	Driver	1
2020	January	PACIFIC ST & RICHARDS ST	Lower Mainland	VANCOUVER	Pedestrian	1
2021	July	LKI HWY 0001 SEG# 0533 OFFSET 11.97 KM	Lower Mainland	ABBOTSFORD	Driver	1
2018	September	LOUGHEED HWY	Lower Mainland	BURNABY	Driver	1
2018	March	4200 W 16TH AVE	Lower Mainland	VANCOUVER	Driver	1
2021	September	LOUGHEED HWY # 040100 TO 040699	Lower Mainland	DEROCHE	Driver	1
2018	March	128 AVE	Lower Mainland	MAPLE RIDGE	Passenger	1
2021	April	HWY 1 - JCT OLD ROUTE 3 - ROUTE 12 AT LYTTON - OFFSET 034.36 KM; 1) PULLOUT	Lower Mainland	YALE	Driver	1
2018	July	E HASTINGS ST & PRINCESS AVE	Lower Mainland	VANCOUVER	Driver	1
2020	December	16 AVE & 256 ST	Lower Mainland	LANGLEY	Driver	1
2018	August	14TH AVE & GRIFFITHS DR	Lower Mainland	BURNABY	Driver	1
2021	February	E 54TH AVE & MCKINNON ST	Lower Mainland	VANCOUVER	Pedestrian	1
2017	December	E 20TH AVE & SLOCAN ST	Lower Mainland	VANCOUVER	Pedestrian	1
2019	July	MARION RD & WELLS LINE RD	Lower Mainland	ABBOTSFORD	Passenger	1
2017	March	152 ST & 72 AVE	Lower Mainland	SURREY	Driver	1
2018	June	E 2ND ST & ST ANDREWS AVE	Lower Mainland	NORTH VANCOUVER	Cyclist	1
2019	October	E 49TH AVE & TYNE ST	Lower Mainland	VANCOUVER	Pedestrian	1
2021	November	248 ST # 006600 TO 006851	Lower Mainland	LANGLEY	Driver	1
2017	October	208 ST # 009800 TO 010299	Lower Mainland	LANGLEY	Driver	1
2020	February	HWY 17 - SOUTH FRASER PERIMETER ROAD: HWY 99 - 136 ST - OFFSET 014.50 KM; 1) EMERGENCY VEHICLE ACCESS; 2) RIVER RD DIVERGES	Lower Mainland	SURREY	Pedestrian	1
2018	March	MARTIN DR & SOUTHMERE CRES & MALL ACCESS	Lower Mainland	SURREY	Pedestrian	1
2018	July	MINORU BLVD & MURDOCH AVE & MALL ACCESS	Lower Mainland	RICHMOND	Pedestrian	1
2019	August	HWY 5 - COLDWATER U/P MERRITT - OTHELLO I/C HOPE - OFFSET 104.11 KM; 1) 104 KM POST	Lower Mainland	HOPE	Passenger	1
2019	May	122 ST	Lower Mainland	SURREY	Passenger	1
2020	October	PINETREE WAY & TANTALUS CRT	Lower Mainland	COQUITLAM	Pedestrian	1
2020	March	LOUGHEED HWY & WAHLEACH RD	Lower Mainland	AGASSIZ	Driver	1
2019	June	HWY 101 - GIBSONS - EARLS COVE - OFFSET 013.85 KM; 1) CAMP OLAVE RD; 2) END RAT PORTAGE HILL	Lower Mainland	SECHELT	Driver	1
2021	April	LKI HWY 0001 SEG# 0541 OFFSET 21.61 KM	Lower Mainland	POPKUM	Pedestrian	1
2019	February	228 ST & PURDEY AVE	Lower Mainland	MAPLE RIDGE	Pedestrian	1
2017	October	232 ST & 232 ST OFFRAMP & 232 ST ONRAMP & 72 AVE & 72 AVE ONRAMP & TRANS-CANADA HWY	Lower Mainland	LANGLEY	Driver	1
2021	July	DUTHIE AVE & MONTECITO DR	Lower Mainland	BURNABY	Pedestrian	1
2021	December	144 ST & 80 AVE & HAWKSTREAM DR	Lower Mainland	SURREY	Pedestrian	1
2021	June	CLEARBROOK RD # 003000 TO 003099	Lower Mainland	ABBOTSFORD	Pedestrian	1
2019	May	BRADNER RD & MCTAVISH RD	Lower Mainland	ABBOTSFORD	Passenger	1
2021	September	FRASER HWY OFFRAMP & HIGHSTREET ACCESS RD & MACLURE RD OFFRAMP & MT LEHMAN RD & MT LEHMAN RD OFFRAMP & TRANS-CANADA HWY & TRANS-CANADA HWY ONRAMP	Lower Mainland	ABBOTSFORD	Driver	1
2019	November	BERESFORD ST & WILLINGDON AVE	Lower Mainland	BURNABY	Pedestrian	1
2021	June	CANADA WAY & IMPERIAL ST	Lower Mainland	BURNABY	Driver	1
2021	August	HWY 1	Lower Mainland	CHILLIWACK	Driver	1
2020	December	IMPERIAL ST & SUSSEX AVE	Lower Mainland	BURNABY	Pedestrian	1
2017	November	JOE SAKIC WAY & KENSINGTON AVE & LAUREL ST	Lower Mainland	BURNABY	Passenger	1
2021	June	ALEXANDER AVE & SCHOOL ST	Lower Mainland	CHILLIWACK	Pedestrian	1
2021	June	56 AVE # 021600 TO 022279	Lower Mainland	LANGLEY	Passenger	1
2018	April	BOYD ST # 000700 TO 000719	Lower Mainland	NEW WESTMINSTER	Pedestrian	1
2021	September	134A ST & 96 AVE	Lower Mainland	SURREY	Pedestrian	1
2017	January	168 ST & 56 AVE	Lower Mainland	SURREY	Driver	1
